페이지,상품명,상품설명,정가,할인가,할인율,배송유형,리뷰수,이미지URL,상품링크
1,[Chai797] 시그니처 쇠고기 마늘 볶음밥,진한 불맛과 고소한 마늘 풍미,"8,500","5,950",30%,샛별배송,50,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/9787d3f3-062f-4f1a-8a6f-8565b7a559d2.jpg,https://www.kurly.com/goods/1001316382
1,[고래사] 어묵면우동,쫄깃하고 고소한 어묵면으로 만든 우동,"6,000","5,100",15%,샛별배송,0,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/df278db0-c42e-4900-a53e-fcc23ee59719.jpg,https://www.kurly.com/goods/1001331240
1,[아우름] 대나무 통밥,은은하게 퍼지는 대나무 향,정가 없음,"6,800",할인율 없음,샛별배송,57,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/12a81320-7736-40ea-9021-9262413d5c10.jpg,https://www.kurly.com/goods/1001296545
1,[맥시칸] 크리스피 치킨 2종 (소스 포함)(택1),시그니처 양념 소스를 더한,"9,800","7,840",20%,샛별배송,58,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1001335351
1,[맥시칸] 허니버터 치킨 2종 (택1),진한 버터 풍미의 바삭한 치킨,"9,800","6,860",30%,샛별배송,0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1001335354
1,[맥시칸] 갈릭양념 치킨 2종 (택1),알싸하고 고소한 마늘 풍미,"9,800","6,860",30%,샛별배송,16,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1001335357
1,[제일맞게컬리] 현미곤약 주먹밥 3종 (택1),언제든 부담 없는 저당 한 끼,"8,980","7,180",20%,샛별배송,999+,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1001191650
1,[식사이론] 저당 맵칼 떡볶이,저당으로 즐기는 떡볶이,"7,980","7,180",10%,샛별배송,0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1001333255
1,[뽀로로] DIY 고구마 피자만들기,함께 만드는 맛있는 미니 피자,정가 없음,"9,900",할인율 없음,샛별배송,23,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1001255494
1,[뽀로로] DIY 하와이안 피자만들기,함께 만드는 맛있는 미니 피자,정가 없음,"9,900",할인율 없음,샛별배송,82,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1001255496
