페이지,상품명,상품설명,정가,할인가,할인율,배송유형,리뷰수,이미지URL,상품링크
1,[햇반/쿡반] 노릇노릇 주먹밥 500g 6종 (택1),간편하고 든든한 한 끼,"8,980","7,980",11%,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000185462
1,[골라담기] 인기 피자 6종 (택2),설명 없음,"9,900","8,118",18%,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1001227928
2,떡볶이&튀김 인기 메뉴 2종(택1),누구나 사랑하는 조합,"7,800","6,630",15%,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1001154161
2,[99시리즈] 인기 야식 6종 (택1),출출한 배를 달래줄,"9,900","7,920",20%,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1001146322
2,[고래사] 어묵 & 떡볶이 인기 밀키트 8종 (택1),설명 없음,"15,900","12,720",20%,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1001117049
2,[올마레] 인기 춘천 닭갈비 떡볶이 2종 (택1),닭갈비와 떡볶이의 환상궁합,"13,500","10,800",20%,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1001141704
2,[블랑제리코팡] 바게트 샌드위치,햄과 버터를 듬뿍,정가 없음,"5,300",할인율 없음,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/5067010
2,[마니커F&G] 옛날통닭 바사삭치킨 14조각,바삭바삭 옛날통닭 그 맛 그대로!,"10,900","8,900",18%,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/5054268
3,홈파티 인기 밀키트 6종 (택1),집에서 즐기는 화려한 파티 음식,"12,900","10,320",20%,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000968752
3,[에머이] 소고기 쌀국수 2종 (택1),취향 따라 즐기는 뜨끈한 국물 맛,"12,500","10,000",20%,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000958350
3,[골라담기][모두의맛집] 인기 셰프 도시락 11종 (택2),스타 셰프들의 레시피를 담은,"6,500","5,200",20%,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000959450
3,[멕시카나] 더 바삭한 닭강정 2종,멕시카나의 오랜 노하우로 완성,"8,980","8,080",10%,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/5121291
3,[투다리] 인기 밀키트 8종 골라담기 (택1),한 번에 만나는 대표 메뉴,"14,900","11,175",25%,샛별배송,"9,999+",https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/767cc245-f927-45bb-9370-23a9f7b82d8f.jpg,https://www.kurly.com/goods/1000872222
3,[성수동 팩피 : FAGP] 인기 파스타 2종 (택1),집에서 만나는 성수동 맛집,"9,200","7,280",20%,샛별배송,"9,999+",https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/86d2b37e-d75c-42fa-8326-0a1079b37b52.jpg,https://www.kurly.com/goods/1000952511
4,[모노키친] 베이징풍 찹쌀탕수육,타피오카 가루를 더해 쫀득한 튀김옷,"8,900","8,010",10%,샛별배송,"9,999+","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/5055940
